  teamId  teamName                submissionDate              score  
--------  ----------------------  --------------------------  -----  
15416656  Y | M | F               2026-05-26 04:38:33.576000  0.87   
15623246  Researcher 7919         2026-05-19 09:32:48         0.87   
15523909  Lora is all you need    2026-05-21 19:33:18         0.87   
15417208  Kh0a                    2026-05-24 19:10:16.073000  0.87   
15429334  fate                    2026-05-26 03:01:19.086000  0.87   
15448082  JK-Piece                2026-05-25 17:31:03.936000  0.87   
15417660  Surya milenial          2026-05-26 06:14:50.863000  0.87   
15483304  Diptyajit Das           2026-05-23 11:37:27         0.86   
15419487  Mattpelor               2026-05-26 06:19:36.806000  0.86   
15430129  Nemotron in wonderland  2026-05-25 21:41:30.126000  0.86   
15536256  Your LoRA in April      2026-05-22 02:19:20.176000  0.86   
15419643  Shivam Shinde           2026-05-20 04:10:17.856000  0.86   
15488722  Yusaku Muroya           2026-05-22 14:20:37         0.86   
15426953  vli                     2026-05-15 14:27:12         0.86   
15422998  Ali                     2026-05-23 22:15:10.413000  0.86   
15428538  toxu                    2026-05-23 15:09:02         0.86   
15539136  Vedrin Jeliazkov        2026-05-25 16:38:07         0.86   
15598499  Co-Authored-By Claude   2026-05-25 14:45:13.913000  0.86   
15538207  Reasoning Rockets       2026-05-25 12:16:31         0.86   
15616692  Aymane Ait Dads         2026-05-01 08:38:18         0.86   
